RSECTION	DISTRICT	CO	ID_PREFIX	ID_RTE_NO	MUNICIPALITY	MP_SUFFIX	EXIT_NUMBER	RAMP_NUMBER	D	IS_INV_DIR	BEGIN_DIR_MP	END_DIR_MP	ROAD_NAME_START	BEGIN_DESCRIPTION	END_DESCRIPTION	SECTION_LENGTH	COLL_CATEGORY	PRIORITY	GOVT_CONTROL	NHS_CODE	INV_BMP	INV_EMP	BEG_LAT	BEG_LONG	END_LAT	END_LONG	GLOBAL_ROUTE_ID	SUB_ROUTE_ID	ROUTE	TRIMROUTE	ROUTEID	MULTIPLE_BEG_INT	MULTIPLE_END_INT	RVISIKEY	ASSOCIATED_ID_PREFIX	FDIR	BEGIN_SECTION_DESC	BEGIN_SECTION_MILE_POINT	END_SECTION_DESC	END_SECTION_MILE_POINT	COLLECTION_YEAR
2004411	4	BA	MD	695	0	C 			S	1	0	1.23	AUTHORITY DR	TOLL MAINTENANCE	BALTO BELTWAY	1.23	7	1	31	0	0	1.23	39.2350886	-76.5072247	39.227989	-76.513359	20044	1	MD 695 C	MD 695 C	03000MD00695C 01SS**************	1	1	1275	MD	5					2016
2004421	4	BA	MD	695	0	C 			N	0	0.25	1.23	AUTHORITY DR	ENT TO MAINTENANCE YARD	BALTO BELTWAY (BACK)	0.98	10	2	31	0	0.25	1.23	39.2256885	-76.5169062	39.2351735	-76.5072346	20044	2	MD 695 C	MD 695 C	03000MD00695C 01SN**************	0	1	1276	MD	6					2016
2004511	4	BA	MD	700	0				N	1	0	1.97	MARTIN BLVD	CHESAPEAKE PARK PL (BACK)	PULASKI HWY	1.97	7	1	1	0	0	1.97	39.3308189	-76.436897	39.3428844	-76.4677961	20045	1	MD 700	MD 700	03000MD00700  01NN**************	1	1	1277	MD	5					2016
2004521	4	BA	MD	700	0				S	0	0	1.82	MARTIN BLVD	RAMP 6 FR US 40 EB TO MD 700 SB	CHESAPEAKE PARK PL (BACK)	1.82	3	3	1	0	0	1.82	39.3414919	-76.4659734	39.3308134	-76.4369924	20045	2	MD 700	MD 700	03000MD00700  01NS**************	0	1	1278	MD	6					2016
2004611	4	BA	MD	702	0				E	1	0	4.17	SOUTHEAST BLVD	EXIT #36	BACK RIVER NECK RD	4.17	5	1	1	1	0	4.17	39.3283386	-76.4839445	39.2919323	-76.4293974	20046	1	MD 702	MD 702	03000MD00702  01EE**************	1	1	1279	MD	5					2016
2004621	4	BA	MD	702	0				W	0	0	4.17	SOUTHEAST BLVD	BACK RIVER NECK RD	EXIT #36	4.17	3	3	1	1	0	4.17	39.292046	-76.429331	39.3280478	-76.4832481	20046	2	MD 702	MD 702	03000MD00702  01EW**************	1	1	1280	MD	6					2016
2004711	4	BA	MD	746	0	A 			N	1	0	0.13	LAKESIDE DR	FALLS RD	ROAD END - GATE	0.13	10	2	1	0	0	0.13	39.3740167	-76.6503282	39.3756272	-76.650724	20047	1	MD 746 A	MD 746 A	03000MD00746A 01NN**************	1	1	1281	MD	5					2016
2004721	4	BA	MD	746	0	A 			S	0	0	0.13	LAKESIDE DR	ROAD END - GATE	FALLS RD	0.13	10	2	1	0	0	0.13	39.3756272	-76.650724	39.3740167	-76.6503282	20047	2	MD 746 A	MD 746 A	03000MD00746A 01NS**************	1	1	1282	MD	6					2016
2004811	4	BA	MD	795	0				E	1	0	0.47	NO NAME	EXIT #9	HANOVER PIKE	0.47	9	1	1	1	0	0.47	39.4732084	-76.8362928	39.4755086	-76.8289977	20048	1	MD 795	MD 795	03000MD00795  01EE**************	1	1	1283	MD	5					2016
2004821	4	BA	MD	795	0				W	0	0	0.47	NO NAME	HANOVER PIKE	EXIT #9	0.47	9	1	1	1	0	0.47	39.4755534	-76.8289972	39.4732774	-76.8364426	20048	2	MD 795	MD 795	03000MD00795  01EW**************	1	1	1284	MD	6					2016
2004911	4	BA	MD	889	0				E	1	0	0.1	NO NAME	ROAD END	MT CARMEL RD	0.1	10	2	1	0	0	0.1	39.5922183	-76.672292	39.5913792	-76.6714461	20049	1	MD 889	MD 889	03000MD00889  01EE**************	1	1	1285	MD	5					2016
2004921	4	BA	MD	889	0				W	0	0	0.1	NO NAME	MT CARMEL RD	ROAD END	0.1	10	2	1	0	0	0.1	39.5913792	-76.6714461	39.5922183	-76.672292	20049	2	MD 889	MD 889	03000MD00889  01EW**************	1	1	1286	MD	6					2016
2005011	4	BA	MD	940	0				N	1	0	1.44	OWINGS MILLS BLVD	RED RUN BLVD	RAMP 5 FR MD 140 SB TO MD 940 EB	1.44	5	1	1	1	0	1.44	39.4038148	-76.7959892	39.4180728	-76.7799901	20050	1	MD 940	MD 940	03000MD00940  01NN**************	1	1	1287	MD	5					2016
2005012	4	BA	MD	940	0				N	1	1.44	1.48	OWINGS MILLS BLVD	RAMP 5 FR MD 140 SB TO MD 940 EB	OWINGS MILLS BLVD (AHEAD)	0.04	7	1	1	1	1.44	1.48	39.4180728	-76.7799901	39.4184219	-76.7794906	20050	1	MD 940	MD 940	03000MD00940  01NN**************	1	1	1288	MD	5					2016
2005021	4	BA	MD	940	0				S	0	0	1.48	OWINGS MILLS BLVD	OWINGS MILLS BLVD (AHEAD)	RED RUN BLVD	1.48	3	3	1	1	0	1.48	39.418514	-76.7796527	39.4038036	-76.7962291	20050	2	MD 940	MD 940	03000MD00940  01NS**************	1	1	1289	MD	6					2016
2005111	4	BA	MD	943	0				E	1	0	0.59	WARREN RD W	RAMP 4 FR IS 83 NB TO MD 943 EB	WARREN RD (AHEAD)	0.59	10	2	1	0	0	0.59	39.471465	-76.660138	39.475252	-76.650776	20051	1	MD 943	MD 943	03000MD00943  01EE**************	1	1	1290	MD	5					2016
2005121	4	BA	MD	943	0				W	0	0	0.588	WARREN RD W	BEAVER DAM RD	RAMP 4 FR IS 83 NB TO MD 943 EB	0.588	10	2	1	0	0	0.588	39.475432	-76.650901	39.471629	-76.660283	20051	2	MD 943	MD 943	03000MD00943  01EW**************	1	1	1291	MD	6					2016
2005211	4	BA	MD	993	0	B 			N	1	0	0.038	NO NAME	START OF INVENTORY	END OF INVENTORY	0.038	10	2	1	0	0	0.038	39.2513951	-76.6691254	39.2519975	-76.6686204	20052	1	MD 993 B	MD 993 B	03000MD00993B 01NN**************	0	0	1292	MD	5					2016
2005221	4	BA	MD	993	0	B 			S	0	0	0.038	NO NAME	END OF INVENTORY	START OF INVENTORY	0.038	10	2	1	0	0	0.038	39.2519975	-76.6686204	39.2513951	-76.6691254	20052	2	MD 993 B	MD 993 B	03000MD00993B 01NS**************	0	0	1293	MD	6					2016
2089211	4	BA	OP	7034	0				N	1	0.04	0.23	WALTHER BLVD	WALTHER BLVD (BACK)	ROAD END: BARRICADE	0.19	6	1	25	0	0.04	0.23	39.4064507	-76.4935857	39.4083476	-76.4911347	20892	1	OP 7034	OP 7034	03000OP07034  01NN**************	1	1	1294	OP	5					2016
2091911	4	BA	OP	7065	0				W	1	2.97	2.99	WASHINGTON BLVD			0.02	1	1	25	1	2.97	2.99	39.257297	-76.6640518	39.2570848	-76.6643313	20919	1	OP 7065	OP 7065	03000OP07065  01WW**************			1295	OP	5					2016
2092211	4	BA	RP	40	0		18	6	E	1	0	0.22	RAMP 6 FR US 40 EB TO MD 700 SB	PULASKI HWY	MARTIN BLVD	0.22	10	2	1	1	0	0.22	39.341504	-76.469619	39.3414919	-76.4659734	20922	1	US 40 E18 R6	US 40 E18 R6	03000RP00040  02EEUS18        06	1	1	1296	US	5					2016
2092311	4	BA	RP	40	0		20	9	E	1	0	0.211	RAMP 9 FR US 40 WB TO MD 43 WB	PULASKI HWY	WHITE MARSH BLVD	0.211	10	2	1	0	0	0.211	39.3723507	-76.4339666	39.3729017	-76.4305291	20923	1	US 40 E20 R9	US 40 E20 R9	03000RP00040  02EEUS20        09	1	1	1297	US	5					2016
2092411	4	BA	RP	40	0		18	4	N	1	0	0.18	RAMP 4 FR MD 700 NB TO US 40 EB	MARTIN BLVD	PULASKI HWY	0.18	10	2	1	1	0	0.18	39.3418446	-76.466144	39.344245	-76.4658957	20924	1	US 40 E18 R4	US 40 E18 R4	03000RP00040  02NNUS18        04	1	1	1298	US	5					2016
2092511	4	BA	RP	40	0		20	4	N	1	0	0.084	RAMP 4 FR RAMP 1 (FR MD 43) TO US 40 EB	RAMP 1 FR MD 43 WB TO US 40 WB	PULASKI HWY	0.084	10	2	1	0	0	0.084	39.3719511	-76.4327503	39.3730971	-76.433208	20925	1	US 40 E20 R4	US 40 E20 R4	03000RP00040  02NNUS20        04	1	1	1299	US	5					2016
2092611	4	BA	RP	40	0		20	6	N	1	0	0.047	RAMP 6 FR US 40 EB TO RAMP 9 (TO MD 43)	PULASKI HWY	RAMP 9 FR US 40 WB TO MD 43 WB	0.047	10	2	1	0	0	0.047	39.371836	-76.4341176	39.3720146	-76.433216	20926	1	US 40 E20 R6	US 40 E20 R6	03000RP00040  02NNUS20        06	1	1	1300	US	5					2016
2092711	4	BA	RP	40	0		20	7	N	1	0	0.033	RAMP 7 FR RAMP 9 (FR US 40) TO MD 43 EB	RAMP 9 FR US 40 WB TO MD 43 WB	WHITE MARSH BLVD	0.033	10	2	1	0	0	0.033	39.3725017	-76.4309731	39.3725333	-76.4304103	20927	1	US 40 E20 R7	US 40 E20 R7	03000RP00040  02NNUS20        07	1	1	1301	US	5					2016
2092811	4	BA	RP	40	0		18	7	S	1	0	0.07	RAMP 7 FR US 40 WB TO RAMP 6 (TO MD 700)	PULASKI HWY	RAMP 6 FR US 40 EB TO MD 700 SB	0.07	10	2	1	1	0	0.07	39.3425564	-76.4685004	39.3419997	-76.4674836	20928	1	US 40 E18 R7	US 40 E18 R7	03000RP00040  02SSUS18        07	1	1	1302	US	5					2016
2092911	4	BA	RP	40	0		20	2	S	1	0	0.324	RAMP 2 FR US 40 WB TO MD 43 NB	PULASKI HWY	WHITE MARSH BLVD	0.324	10	2	1	0	0	0.324	39.3777323	-76.4301172	39.375321	-76.4343078	20929	1	US 40 E20 R2	US 40 E20 R2	03000RP00040  02SSUS20        02	1	1	1303	US	5					2016
2093011	4	BA	RP	40	0		20	8	S	1	0	0.03	RAMP 8 FR MD 43 EB TO RAMP 1 (TO US 40)	WHITE MARSH BLVD	RAMP 1 FR MD 43 WB TO US 40 WB	0.03	10	2	1	0	0	0.03	39.3729797	-76.431119	39.3725606	-76.4310902	20930	1	US 40 E20 R8	US 40 E20 R8	03000RP00040  02SSUS20        08	1	1	1304	US	5					2016
2093111	4	BA	RP	40	0		18	1	W	1	0	0.3	RAMP 1 FR MD 700 NB TO US 40 WB	PULASKI HWY	PULASKI HWY	0.3	10	2	1	0	0	0.3	39.3428844	-76.4677961	39.3407055	-76.4713663	20931	1	US 40 E18 R1	US 40 E18 R1	03000RP00040  02WWUS18        01	1	1	1305	US	5					2016
2093211	4	BA	RP	40	0		20	1	W	1	0	0.2	RAMP 1 FR MD 43 WB TO US 40 WB	WHITE MARSH BLVD	PULASKI HWY	0.2	10	2	1	0	0	0.2	39.3729735	-76.4306241	39.3724462	-76.4338977	20932	1	US 40 E20 R1	US 40 E20 R1	03000RP00040  02WWUS20        01	1	1	1306	US	5					2016
2093311	4	BA	RP	43	0		1	4	E	1	0	0.34	RAMP 4 FR US 1 NB TO MD 43 EB	BELAIR RD	WHITE MARSH BLVD	0.34	10	2	1	0	0	0.34	39.3829233	-76.4996286	39.3804173	-76.4947273	20933	1	MD 43 E1 R4	MD 43 E1 R4	03000RP00043  02EEMD1         04	1	1	1307	MD	5					2016
2093411	4	BA	RP	43	0		4	1	E	1	0	0.27	RAMP 1 FR MD 7 NB TO MD 43 WB	PHILADELPHIA RD	WHITE MARSH BLVD	0.27	10	2	1	1	0	0.27	39.3776836	-76.4379294	39.3767434	-76.4379406	20934	1	MD 43 E4 R1	MD 43 E4 R1	03000RP00043  02EEMD4         01	1	1	1308	MD	5					2016
2093511	4	BA	RP	43	0		1	1	N	1	0	0.04	RAMP 1 FR RAMP 4 (FR US 1) TO MD 43 WB	RAMP 4 FR US 1 NB TO MD 43 EB	WHITE MARSH BLVD	0.04	10	2	1	0	0	0.04	39.3807393	-76.4950821	39.380172	-76.4952412	20935	1	MD 43 E1 R1	MD 43 E1 R1	03000RP00043  02NNMD1         01	1	1	1309	MD	5					2016
2093611	4	BA	RP	43	0		1	3	N	1	0	0.33	RAMP 3 FR MD 43 EB TO US 1 NB	WHITE MARSH BLVD	BELAIR RD	0.33	10	2	1	0	0	0.33	39.3804929	-76.4945769	39.3838417	-76.4984615	20936	1	MD 43 E1 R3	MD 43 E1 R3	03000RP00043  02NNMD1         03	1	1	1310	MD	5					2016
2093711	4	BA	RP	43	0		1	6	N	1	0	0.22	RAMP 6 FR MD 43 EB TO US 1 SB	WHITE MARSH BLVD	BELAIR RD	0.22	10	2	1	0	0	0.22	39.3795209	-76.5056423	39.3802661	-76.5025541	20937	1	MD 43 E1 R6	MD 43 E1 R6	03000RP00043  02NNMD1         06	1	1	1311	MD	5					2016
2093811	4	BA	RP	43	0		1	8	S	1	0	0.03	RAMP 8 FR RAMP 5 (FR US 1) TO MD 43 WB	RAMP 5 FR US 1 SB TO MD 43 EB	WHITE MARSH BLVD	0.03	10	2	1	0	0	0.03	39.3799937	-76.505584	39.3797032	-76.5060292	20938	1	MD 43 E1 R8	MD 43 E1 R8	03000RP00043  02SSMD1         08	1	1	1312	MD	5					2016
2093911	4	BA	RP	43	0		4	3	S	1	0	0.28	RAMP 3 FR MD 43 EB TO MD 7J (TO MD 7)	WHITE MARSH BLVD	INDUSTRIAL PARK RD	0.28	10	2	1	1	0	0.28	39.3766318	-76.4384015	39.373776	-76.4396717	20939	1	MD 43 E4 R3	MD 43 E4 R3	03000RP00043  02SSMD4         03	1	1	1313	MD	5					2016
2094011	4	BA	RP	43	0		4	6	S	1	0	0.02	RAMP 6 FR RAMP 3 (FR MD 43) TO MD 7J SB	RAMP 3 FR MD 43 EB TO MD 7J (TO MD 7)	INDUSTRIAL PARK RD	0.02	10	2	1	1	0	0.02	39.3738384	-76.4389712	39.3735313	-76.4394375	20940	1	MD 43 E4 R6	MD 43 E4 R6	03000RP00043  02SSMD4         06	1	1	1314	MD	5					2016
2094111	4	BA	RP	43	0		4	8	S	1	0	0.03	RAMP 8 FR MD 7 SB TO RAMP 1 (TO MD 43)	PHILADELPHIA RD	RAMP 1 FR MD 7 NB TO MD 43 WB	0.03	10	2	1	1	0	0.03	39.3783167	-76.4371592	39.3780053	-76.4367414	20941	1	MD 43 E4 R8	MD 43 E4 R8	03000RP00043  02SSMD4         08	1	1	1315	MD	5					2016
2094211	4	BA	RP	43	0		1	2	W	1	0	0.02	RAMP 2 FR MD 43 WB TO RAMP 3 (TO US 1)	WHITE MARSH BLVD	RAMP 3 FR MD 43 EB TO US 1 NB	0.02	10	2	1	0	0	0.02	39.3806657	-76.494238	39.3807091	-76.4948158	20942	1	MD 43 E1 R2	MD 43 E1 R2	03000RP00043  02WWMD1         02	1	1	1316	MD	5					2016
2094311	4	BA	RP	43	0		1	5	W	1	0	0.25	RAMP 5 FR US 1 SB TO MD 43 EB	BELAIR RD	WHITE MARSH BLVD	0.25	10	2	1	0	0	0.25	39.3806926	-76.502148	39.3795209	-76.5056423	20943	1	MD 43 E1 R5	MD 43 E1 R5	03000RP00043  02WWMD1         05	1	1	1317	MD	5					2016
2094411	4	BA	RP	43	0		1	7	W	1	0	0.04	RAMP 7 FR MD 43 WB TO RAMP 6 (TO US 1)	WHITE MARSH BLVD	RAMP 6 FR MD 43 EB TO US 1 SB	0.04	10	2	1	0	0	0.04	39.3795859	-76.5048421	39.3801674	-76.5053228	20944	1	MD 43 E1 R7	MD 43 E1 R7	03000RP00043  02WWMD1         07	1	1	1318	MD	5					2016
2094511	4	BA	RP	43	0		1	9	W	1	0	0.02	RAMP 9 FR RAMP 3 (FR MD 43) TO US 1 SB	RAMP 3 FR MD 43 EB TO US 1 NB	DUNFIELD RD  (AHEAD)	0.02	10	2	1	1	0	0.02	39.3831264	-76.4985267	39.3834397	-76.498972	20945	1	MD 43 E1 R9	MD 43 E1 R9	03000RP00043  02WWMD1         09	1	1	1319	MD	5					2016
2094611	4	BA	RP	70	0		91	4	E	1	0	0.76	RAMP 4 FR IS 695 NB TO IS 70 EB	BALTO BELTWAY	NO NAME	0.76	10	2	1	1	0	0.76	39.2995624	-76.7430125	39.3059017	-76.7336744	20946	1	IS 70 E91 R4	IS 70 E91 R4	03000RP00070  02EEIS91        04	1	1	1320	IS	5					2016
2094711	4	BA	RP	70	0		94	4	E	1	0	0.23	RAMP 4 FR MD 122 NB TO IS 70 EB	COOKS LA	NO NAME	0.23	10	2	1	1	0	0.23	39.2993012	-76.7114429	39.3015569	-76.7089637	20947	1	IS 70 E94 R4	IS 70 E94 R4	03000RP00070  02EEIS94        04	1	1	1321	IS	5					2016
2094811	4	BA	RP	70	0		91	1	N	1	0	0.61	RAMP 1 FR RAMP 4 (FR IS695 NB) TO RAMP 8	RAMP 4 FR IS 695 NB TO IS 70 EB	RAMP 8 FR IS 695 SB TO IS 70 WB	0.61	10	2	1	1	0	0.61	39.3023075	-76.7426156	39.3067325	-76.7496503	20948	1	IS 70 E91 R1	IS 70 E91 R1	03000RP00070  02NNIS91        01	1	1	1322	IS	5					2016
2094911	4	BA	RP	70	0		91	7	N	1	0	0.59	RAMP 7 FR RAMP 2 TO RAMP 6 (TO IS695 SB)	RAMP 2 FR IS 70 WB TO IS 695 NB	RAMP 6 FR IS 70 EB TO IS 695 SB	0.59	10	2	1	1	0	0.59	39.3068219	-76.7391682	39.3021203	-76.7442153	20949	1	IS 70 E91 R7	IS 70 E91 R7	03000RP00070  02NNIS91        07	1	1	1323	IS	5					2016
2095011	4	BA	RP	70	0		91	5	S	1	0	0.58	RAMP 5 FR RAMP 8 (FR IS695 SB) TO RAMP 4	RAMP 8 FR IS 695 SB TO IS 70 WB	RAMP 4 FR IS 695 NB TO IS 70 EB	0.58	10	2	1	1	0	0.58	39.3094845	-76.7451682	39.3055746	-76.7390809	20950	1	IS 70 E91 R5	IS 70 E91 R5	03000RP00070  02SSIS91        05	1	1	1324	IS	5					2016
2095111	4	BA	RP	70	0		91	6	S	1	0	0.677	RAMP 6 FR IS 70 EB TO IS 695 SB	NO NAME	BALTO BELTWAY	0.677	10	2	1	1	0	0.677	39.3068056	-76.7522588	39.2996408	-76.7432596	20951	1	IS 70 E91 R6	IS 70 E91 R6	03000RP00070  02SSIS91        06	1	1	1325	IS	5					2016
2095211	4	BA	RP	70	0		91	8	S	1	0	0.64	RAMP 8 FR IS 695 SB TO IS 70 WB	BALTO BELTWAY	NO NAME	0.64	10	2	1	1	0	0.64	39.3113471	-76.7446791	39.3072965	-76.7531085	20952	1	IS 70 E91 R8	IS 70 E91 R8	03000RP00070  02SSIS91        08	1	1	1326	IS	5					2016
2095311	4	BA	RP	70	0		93	6	S	1	0	0.15	RAMP 6 FR PARALLEL DR TO RAMP 8	PARALLEL DR	RAMP 8 FR INGLESIDE AVE TO IS 70 WB	0.15	10	2	1	1	0	0.15	39.3034715	-76.7159164	39.3029397	-76.717706	20953	1	IS 70 E93 R6	IS 70 E93 R6	03000RP00070  02SSIS93        06	1	1	1327	IS	5					2016
2095411	4	BA	RP	70	0		94	2	S	1	0	0.11	RAMP 2 FR IS 70 WB TO MD 122 NB	NO NAME	SECURITY BLVD	0.11	10	2	1	1	0	0.11	39.3016658	-76.710327	39.302581	-76.7123689	20954	1	IS 70 E94 R2	IS 70 E94 R2	03000RP00070  02SSIS94        02	1	1	1328	IS	5					2016
2095511	4	BA	RP	70	0		94	3	S	1	0	0.25	RAMP 3 FR IS 70 EB TO MD 122 NB	NO NAME	SECURITY BLVD	0.25	10	2	1	1	0	0.25	39.301188	-76.7111941	39.3008255	-76.7120944	20955	1	IS 70 E94 R3	IS 70 E94 R3	03000RP00070  02SSIS94        03	1	1	1329	IS	5					2016
2095611	4	BA	RP	70	0		94	5	S	1	0	0.23	RAMP 5 FR MD 122 SB TO IS 70 EB	SECURITY BLVD	NO NAME	0.23	10	2	1	1	0	0.23	39.3006091	-76.7122628	39.3012796	-76.7138467	20956	1	IS 70 E94 R5	IS 70 E94 R5	03000RP00070  02SSIS94        05	1	1	1330	IS	5					2016
2095711	4	BA	RP	70	0		94	8	S	1	0	0.29	RAMP 8 FR IS 70 WB TO MD 122 SB	NO NAME	SECURITY BLVD	0.29	10	2	1	1	0	0.29	39.3014857	-76.712469	39.3020197	-76.7123152	20957	1	IS 70 E94 R8	IS 70 E94 R8	03000RP00070  02SSIS94        08	1	1	1331	IS	5					2016
2095811	4	BA	RP	70	0		91	2	W	1	0	0.83	RAMP 2 FR IS 70 WB TO IS 695 NB	NO NAME	BALTO BELTWAY	0.83	10	2	1	1	0	0.83	39.3058574	-76.7322338	39.3118432	-76.7444736	20958	1	IS 70 E91 R2	IS 70 E91 R2	03000RP00070  02WWIS91        02	1	1	1332	IS	5					2016
2095911	4	BA	RP	70	0		91	3	W	1	0	0.58	RAMP 3 FR RAMP 6 TO RAMP 2 (TO IS695 NB)	RAMP 6 FR IS 70 EB TO IS 695 SB	RAMP 2 FR IS 70 WB TO IS 695 NB	0.58	10	2	1	1	0	0.58	39.3050799	-76.748865	39.3097274	-76.7436481	20959	1	IS 70 E91 R3	IS 70 E91 R3	03000RP00070  02WWIS91        03	1	1	1333	IS	5					2016
2096011	4	BA	RP	70	0		93	1	W	1	0	0.03	RAMP 1 FR INGLESIDE AVE TO RAMP 8	INGLESIDE AVE	RAMP 8 FR INGLESIDE AVE TO IS 70 WB	0.03	10	2	1	1	0	0.03	39.3023781	-76.7164082	39.302712	-76.7167457	20960	1	IS 70 E93 R1	IS 70 E93 R1	03000RP00070  02WWIS93        01	1	1	1334	IS	5					2016
2096111	4	BA	RP	70	0		93	8	W	1	0	0.312	RAMP 8 FR INGLESIDE AVE TO IS 70 WB	INGLESIDE AVE	NO NAME	0.312	10	2	1	1	0	0.312	39.3026569	-76.71596	39.3039576	-76.7224293	20961	1	IS 70 E93 R8	IS 70 E93 R8	03000RP00070  02WWIS93        08	1	1	1335	IS	5					2016
2096211	4	BA	RP	70	0		94	1	W	1	0	0.04	RAMP 1 FR MD 122  TO RAMP 4 (TO IS 70)	COOKS LA	RAMP 4 FR MD 122 NB TO IS 70 EB	0.04	10	2	1	1	0	0.04	39.299602	-76.7119355	39.2997892	-76.7112428	20962	1	IS 70 E94 R1	IS 70 E94 R1	03000RP00070  02WWIS94        01	1	1	1336	IS	5					2016
2096311	4	BA	RP	83	0		13	6	E	1	0	0.19	RAMP 6 FR IS 695 TO RAMP 7 (TO IS 83 SB)	BALTO BELTWAY	RAMP 7 FR IS 83/IS 695 WB TO IS 83 SB	0.19	10	2	1	1	0	0.19	39.4084578	-76.6669214	39.4081977	-76.6638264	20963	1	IS 83 E13 R6	IS 83 E13 R6	03000RP00083  02EEIS13        06	1	1	1337	IS	5					2016
2096411	4	BA	RP	83	0		16	1	E	1	0	0.13	RAMP 1 FR IS 83 NB TO GREENSPRING DR	HARRISBURG EXPWY	GREENSPRING DR	0.13	10	2	1	1	0	0.13	39.4394492	-76.6339877	39.4404336	-76.6322039	20964	1	IS 83 E16 R1	IS 83 E16 R1	03000RP00083  02EEIS16        01	1	1	1338	IS	5					2016
2096511	4	BA	RP	83	0		16	2	E	1	0	0.13	RAMP 2 FR GREENSPRING DR TO IS 83 NB	GREENSPRING DR	HARRISBURG EXPWY	0.13	10	2	1	1	0	0.13	39.4405175	-76.6322236	39.4410503	-76.6343311	20965	1	IS 83 E16 R2	IS 83 E16 R2	03000RP00083  02EEIS16        02	1	1	1339	IS	5					2016
2096611	4	BA	RP	83	0		17	2	E	1	0	0.16	RAMP 2 FR PADONIA RD WB TO IS 83 NB	PADONIA RD	HARRISBURG EXPWY	0.16	10	2	1	1	0	0.16	39.4552602	-76.6451227	39.4559062	-76.6482629	20966	1	IS 83 E17 R2	IS 83 E17 R2	03000RP00083  02EEIS17        02	1	1	1340	IS	5					2016
2096711	4	BA	RP	83	0		17	3	E	1	0	0.01	RAMP 3 FR PADONIA RD TO RAMP 2 (TO IS83)	PADONIA RD	RAMP 2 FR PADONIA RD WB TO IS 83 NB	0.01	10	2	1	1	0	0.01	39.4549802	-76.645704	39.4552824	-76.6459406	20967	1	IS 83 E17 R3	IS 83 E17 R3	03000RP00083  02EEIS17        03	1	1	1341	IS	5					2016
2096811	4	BA	RP	83	0		17	4	E	1	0	0.2	RAMP 4 FR IS 83 NB TO PADONIA RD EB	HARRISBURG EXPWY	PADONIA RD	0.2	10	2	1	1	0	0.2	39.452865	-76.6430347	39.4553481	-76.6434571	20968	1	IS 83 E17 R4	IS 83 E17 R4	03000RP00083  02EEIS17        04	1	1	1342	IS	5					2016
2096911	4	BA	RP	83	0		33	6	E	1	0	0.32	RAMP 6 FR IS 83 EB TO MD 45 SB	HARRISBURG EXPWY	YORK RD	0.32	10	2	1	1	0	0.32	39.6535122	-76.659365	39.6545904	-76.6536666	20969	1	IS 83 E33 R6	IS 83 E33 R6	03000RP00083  02EEIS33        06	1	1	1343	IS	5					2016
2097011	4	BA	RP	83	0		12	4	N	1	0	0.23	RAMP 4 FR IS 83 NB TO RUXTON RD	JONES FALLS EXPWY	RUXTON RD	0.23	10	2	1	1	0	0.23	39.398186	-76.6647356	39.4008676	-76.6619817	20970	1	IS 83 E12 R4	IS 83 E12 R4	03000RP00083  02NNIS12        04	1	1	1344	IS	5					2016
2097111	4	BA	RP	83	0		13	1	N	1	0	0.309	RAMP 1 FR MD 25A NB TO IS 695 WB	JONES FALLS EXPWY	BALTO BELTWAY	0.309	10	2	1	1	0	0.309	39.4124996	-76.6641272	39.4110796	-76.6644659	20971	1	IS 83 E13 R1	IS 83 E13 R1	03000RP00083  02NNIS13        01	1	1	1345	IS	5					2016
2097211	4	BA	RP	83	0		13	2	N	1	0	0.22	RAMP 2 FR RAMP 7 FR IS83/IS695 TO MD25A	RAMP 7 FR IS 83/IS 695 WB TO IS 83 SB	JONES FALLS EXPWY	0.22	10	2	1	1	0	0.22	39.4140962	-76.6625173	39.4148559	-76.6660777	20972	1	IS 83 E13 R2	IS 83 E13 R2	03000RP00083  02NNIS13        02	1	1	1346	IS	5					2016
2097311	4	BA	RP	83	0		13	4	N	1	0	0.44	RAMP 4 FR IS 83 NB TO IS 83/IS 695 EB	JONES FALLS EXPWY	BALTO BELTWAY	0.44	10	2	1	1	0	0.44	39.4077645	-76.6619426	39.4137284	-76.6612196	20973	1	IS 83 E13 R4	IS 83 E13 R4	03000RP00083  02NNIS13        04	1	1	1347	IS	5					2016
2097411	4	BA	RP	83	0		14	2	N	1	0	0.25	RAMP 2 FR IS 695 WB TO IS 83 NB	BALTO BELTWAY	HARRISBURG EXPWY	0.25	10	2	1	1	0	0.25	39.4191715	-76.6362038	39.4222992	-76.6383619	20974	1	IS 83 E14 R2	IS 83 E14 R2	03000RP00083  02NNIS14        02	1	1	1348	IS	5					2016
2097511	4	BA	RP	83	0		16	4	N	1	0	0.18	RAMP 4 FR IS 83 NB TO TIMONIUM RD EB	HARRISBURG EXPWY	TIMONIUM RD	0.18	10	2	1	1	0	0.18	39.4359017	-76.6333468	39.4384753	-76.6325497	20975	1	IS 83 E16 R4	IS 83 E16 R4	03000RP00083  02NNIS16        04	1	1	1349	IS	5					2016
2097611	4	BA	RP	83	0		16	7	N	1	0	0.15	RAMP 7 FR TIMONIUM RD WB TO IS 83 SB	TIMONIUM RD	HARRISBURG EXPWY	0.15	10	2	1	1	0	0.15	39.4379406	-76.6344824	39.4388552	-76.6342312	20976	1	IS 83 E16 R7	IS 83 E16 R7	03000RP00083  02NNIS16        07	1	1	1350	IS	5					2016
